      Date ,Oil Test Volume bbl ,Water Test Volume bbl ,    TEST.GOR cf/bbl ,Gas Test Volume M ,Choke Size CHOKE  , BLPD bbl 
31/05/1996,0.00,0.00,0.00,0.00,0.00,0.00
01/06/1996,523.00,1887.00,187.00,98.00,64.00,2410.00
02/06/1996,1764.00,282.00,726.00,1281.00,64.00,2046.00
03/06/1996,0.00,0.00,0.00,0.00,0.00,0.00
04/06/1996,1194.00,796.00,937.00,1119.00,56.00,1991.00
06/06/1996,1172.00,781.00,915.00,1072.00,56.00,1953.00
10/06/1996,1744.00,279.00,935.00,1631.00,64.00,2024.00
12/06/1996,1768.00,241.00,792.00,1400.00,64.00,2009.00
13/06/1996,1349.00,2256.00,1201.00,1620.00,56.00,3605.00
14/06/1996,520.00,1844.00,102.00,53.00,64.00,2364.00
15/06/1996,1717.00,327.00,876.00,1504.00,64.00,2044.00
16/06/1996,294.00,795.00,1404.00,413.00,0.00,1089.00
17/06/1996,1201.00,1154.00,375.00,451.00,64.00,2355.00
20/06/1996,1699.00,324.00,675.00,1146.00,64.00,2022.00
23/06/1996,1700.00,348.00,860.00,1461.00,64.00,2048.00
26/06/1996,256.00,769.00,1521.00,390.00,0.00,1025.00
27/06/1996,254.00,762.00,1516.00,385.00,0.00,1016.00
30/06/1996,1143.00,762.00,981.00,1122.00,56.00,1906.00
11/07/1996,0.00,0.00,0.00,0.00,0.00,0.00
12/07/1996,0.00,0.00,0.00,0.00,0.00,0.00
13/07/1996,0.00,0.00,0.00,0.00,0.00,0.00
14/07/1996,0.00,0.00,0.00,0.00,0.00,0.00
16/07/1996,0.00,0.00,0.00,0.00,0.00,0.00
25/07/1996,0.00,0.00,0.00,0.00,0.00,0.00
26/07/1996,193.00,1418.00,2332.00,451.00,64.00,1612.00
27/07/1996,0.00,0.00,0.00,0.00,0.00,0.00
28/07/1996,1057.00,705.00,1193.00,1261.00,56.00,1762.00
29/07/1996,474.00,1682.00,926.00,439.00,64.00,2156.00
30/07/1996,0.00,0.00,0.00,0.00,0.00,0.00
08/08/1996,1007.00,685.00,1510.00,1520.00,56.00,1692.00
10/08/1996,1563.00,313.00,1054.00,1648.00,0.00,1876.00
11/08/1996,193.00,1419.00,2585.00,500.00,0.00,1612.00
12/08/1996,1068.00,1112.00,610.00,652.00,0.00,2180.00
13/08/1996,420.00,1581.00,862.00,362.00,0.00,2001.00
16/08/1996,480.00,1521.00,2046.00,983.00,0.00,2002.00
17/08/1996,0.00,0.00,0.00,0.00,0.00,0.00
18/08/1996,1566.00,321.00,943.00,1477.00,0.00,1887.00
19/08/1996,0.00,0.00,0.00,198.00,0.00,0.00
20/08/1996,0.00,0.00,0.00,0.00,0.00,0.00
21/08/1996,0.00,0.00,0.00,0.00,0.00,0.00
22/08/1996,237.00,1345.00,1567.00,372.00,0.00,1583.00
23/08/1996,0.00,0.00,0.00,0.00,0.00,0.00
24/08/1996,1535.00,292.00,933.00,1432.00,0.00,1828.00
30/08/1996,1743.00,1005.00,972.00,1695.00,56.00,2748.00
31/08/1996,1014.00,1064.00,431.00,437.00,0.00,2077.00
02/09/1996,607.00,3014.00,694.00,421.00,0.00,3621.00
04/09/1996,720.00,2916.00,829.00,597.00,0.00,3636.00
05/09/1996,1543.00,2680.00,572.00,882.00,0.00,4222.00
06/09/1996,1068.00,1068.00,337.00,360.00,0.00,2136.00
08/09/1996,1092.00,1049.00,251.00,274.00,0.00,2141.00
11/09/1996,0.00,0.00,0.00,0.00,0.00,0.00
12/09/1996,0.00,0.00,0.00,0.00,0.00,0.00
13/09/1996,0.00,0.00,0.00,0.00,0.00,0.00
15/09/1996,441.00,1657.00,774.00,341.00,0.00,2098.00
16/09/1996,0.00,0.00,0.00,0.00,0.00,0.00
17/09/1996,1060.00,650.00,1074.00,1138.00,56.00,1709.00
20/09/1996,1026.00,692.00,1068.00,1095.00,56.00,1718.00
21/09/1996,2054.00,1799.00,502.00,1032.00,64.00,3853.00
23/09/1996,467.00,1537.00,683.00,319.00,0.00,2004.00
24/09/1996,463.00,1550.00,1983.00,918.00,0.00,2013.00
25/09/1996,235.00,636.00,1191.00,280.00,0.00,871.00
28/09/1996,0.00,0.00,0.00,0.00,0.00,0.00
29/09/1996,448.00,1587.00,954.00,427.00,0.00,2034.00
30/09/1996,278.00,752.00,1375.00,382.00,0.00,1029.00
01/10/1996,447.00,1680.00,931.00,416.00,0.00,2127.00
02/10/1996,0.00,0.00,0.00,0.00,0.00,0.00
03/10/1996,178.00,1343.00,1433.00,255.00,0.00,1521.00
04/10/1996,1563.00,255.00,859.00,1342.00,0.00,1818.00
05/10/1996,1036.00,691.00,1040.00,1077.00,56.00,1726.00
06/10/1996,1208.00,2381.00,514.00,621.00,0.00,3588.00
07/10/1996,247.00,669.00,1213.00,300.00,0.00,916.00
08/10/1996,249.00,672.00,2459.00,611.00,0.00,920.00
13/10/1996,1030.00,687.00,1105.00,1138.00,56.00,1716.00
14/10/1996,1590.00,238.00,891.00,1417.00,0.00,1828.00
17/10/1996,0.00,0.00,0.00,0.00,0.00,0.00
18/10/1996,0.00,0.00,0.00,0.00,0.00,0.00
19/10/1996,479.00,1604.00,455.00,218.00,0.00,2083.00
20/10/1996,228.00,1293.00,964.00,220.00,0.00,1521.00
21/10/1996,234.00,784.00,816.00,191.00,0.00,1018.00
22/10/1996,1030.00,687.00,1141.00,1175.00,56.00,1717.00
23/10/1996,1026.00,985.00,280.00,287.00,0.00,2011.00
25/10/1996,0.00,0.00,0.00,0.00,0.00,0.00
26/10/1996,0.00,0.00,0.00,0.00,0.00,0.00
27/10/1996,1583.00,216.00,805.00,1274.00,0.00,1799.00
28/10/1996,1032.00,688.00,1004.00,1036.00,56.00,1719.00
29/10/1996,0.00,0.00,0.00,0.00,0.00,0.00
30/10/1996,0.00,0.00,0.00,0.00,0.00,0.00
31/10/1996,0.00,0.00,0.00,0.00,0.00,0.00
01/11/1996,0.00,0.00,0.00,0.00,0.00,0.00
02/11/1996,114.00,1509.00,2843.00,323.00,0.00,1622.00
03/11/1996,1721.00,1072.00,968.00,1665.00,64.00,2793.00
04/11/1996,0.00,0.00,0.00,412.00,0.00,0.00
05/11/1996,1474.00,330.00,1123.00,1656.00,64.00,1805.00
06/11/1996,1441.00,360.00,986.00,1420.00,64.00,1801.00
07/11/1996,1020.00,739.00,1600.00,1632.00,56.00,1759.00
09/11/1996,193.00,1418.00,1039.00,201.00,0.00,1611.00
10/11/1996,277.00,647.00,1291.00,358.00,0.00,924.00
11/11/1996,428.00,1518.00,416.00,178.00,0.00,1946.00
12/11/1996,1426.00,357.00,993.00,1416.00,64.00,1783.00
14/11/1996,0.00,0.00,0.00,0.00,0.00,0.00
15/11/1996,195.00,1431.00,1456.00,284.00,0.00,1626.00
16/11/1996,0.00,0.00,0.00,0.00,0.00,0.00
17/11/1996,429.00,1612.00,149.00,64.00,0.00,2041.00
18/11/1996,0.00,0.00,0.00,0.00,0.00,0.00
19/11/1996,214.00,1429.00,970.00,207.00,0.00,1642.00
20/11/1996,1020.00,709.00,1004.00,1024.00,56.00,1729.00
21/11/1996,994.00,994.00,448.00,445.00,0.00,1988.00
22/11/1996,440.00,1562.00,89.00,39.00,0.00,2002.00
24/11/1996,1453.00,298.00,526.00,764.00,64.00,1750.00
01/12/1996,1008.00,969.00,682.00,688.00,0.00,1977.00
02/12/1996,303.00,707.00,858.00,260.00,0.00,1010.00
03/12/1996,1434.00,359.00,947.00,1358.00,64.00,1793.00
04/12/1996,1019.00,679.00,1064.00,1084.00,56.00,1698.00
05/12/1996,491.00,2118.00,995.00,489.00,0.00,2609.00
06/12/1996,1051.00,970.00,635.00,667.00,0.00,2021.00
07/12/1996,471.00,1577.00,170.00,80.00,0.00,2048.00
10/12/1996,1448.00,362.00,1033.00,1495.00,64.00,1810.00
11/12/1996,463.00,1549.00,408.00,189.00,0.00,2012.00
15/12/1996,2077.00,1663.00,806.00,1675.00,56.00,3740.00
18/12/1996,1701.00,3863.00,212.00,361.00,0.00,5564.00
20/12/1996,1466.00,367.00,827.00,1213.00,64.00,1833.00
23/12/1996,1046.00,965.00,749.00,783.00,0.00,2011.00
24/12/1996,1037.00,996.00,212.00,220.00,0.00,2033.00
26/12/1996,1425.00,356.00,828.00,1180.00,64.00,1781.00
27/12/1996,1023.00,682.00,1144.00,1171.00,56.00,1705.00
28/12/1996,460.00,1456.00,405.00,186.00,0.00,1916.00
29/12/1996,463.00,1465.00,506.00,234.00,0.00,1927.00
30/12/1996,1481.00,2483.00,781.00,1157.00,0.00,3964.00
31/12/1996,1184.00,2392.00,750.00,888.00,0.00,3576.00
02/01/1997,171.00,620.00,164.00,28.00,0.00,791.00
03/01/1997,204.00,722.00,580.00,118.00,0.00,925.00
04/01/1997,477.00,1512.00,398.00,190.00,0.00,1989.00
05/01/1997,1427.00,357.00,878.00,1253.00,0.00,1784.00
06/01/1997,0.00,0.00,0.00,0.00,0.00,0.00
07/01/1997,1192.00,1733.00,723.00,861.00,0.00,2924.00
08/01/1997,0.00,0.00,0.00,0.00,0.00,0.00
09/01/1997,1420.00,312.00,821.00,1166.00,0.00,1732.00
10/01/1997,0.00,0.00,0.00,0.00,0.00,0.00
11/01/1997,479.00,1602.00,351.00,168.00,0.00,2081.00
12/01/1997,1671.00,1038.00,905.00,1512.00,0.00,2709.00
13/01/1997,992.00,992.00,399.00,396.00,0.00,1984.00
14/01/1997,219.00,656.00,992.00,217.00,0.00,875.00
17/01/1997,182.00,1471.00,1172.00,213.00,0.00,1653.00
18/01/1997,1043.00,695.00,964.00,1005.00,56.00,1738.00
19/01/1997,993.00,993.00,348.00,346.00,0.00,1986.00
22/01/1997,0.00,0.00,0.00,0.00,0.00,0.00
23/01/1997,0.00,0.00,0.00,0.00,0.00,0.00
24/01/1997,0.00,0.00,0.00,0.00,0.00,0.00
25/01/1997,0.00,0.00,0.00,0.00,0.00,0.00
26/01/1997,0.00,0.00,0.00,0.00,0.00,0.00
27/01/1997,0.00,0.00,0.00,0.00,0.00,0.00
28/01/1997,1214.00,2148.00,1062.00,1289.00,56.00,3362.00
29/01/1997,1914.00,1939.00,1010.00,1933.00,0.00,3853.00
30/01/1997,1213.00,1753.00,439.00,533.00,0.00,2966.00
01/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
02/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
03/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
04/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
05/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
06/02/1997,1207.00,2125.00,1143.00,1380.00,56.00,3332.00
07/02/1997,1036.00,691.00,1149.00,1190.00,56.00,1727.00
08/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
10/02/1997,1511.00,2503.00,339.00,513.00,0.00,4015.00
11/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
12/02/1997,457.00,1530.00,1364.00,623.00,0.00,1987.00
13/02/1997,442.00,1566.00,2078.00,918.00,0.00,2008.00
14/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
15/02/1997,962.00,962.00,1113.00,1070.00,0.00,1923.00
16/02/1997,642.00,1004.00,2586.00,1661.00,0.00,1647.00
17/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
20/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
21/02/1997,889.00,102.00,905.00,805.00,32.00,991.00
22/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
23/02/1997,0.00,0.00,0.00,0.00,0.00,0.00
28/02/1997,1455.00,364.00,859.00,1250.00,64.00,1819.00
02/03/1997,1113.00,1418.00,1153.00,1283.00,56.00,2530.00
03/03/1997,176.00,1422.00,2787.00,490.00,0.00,1598.00
04/03/1997,985.00,985.00,487.00,480.00,0.00,1970.00
06/03/1997,452.00,1489.00,661.00,299.00,0.00,1941.00
07/03/1997,2389.00,1125.00,917.00,2191.00,56.00,3514.00
09/03/1997,1382.00,2277.00,831.00,1148.00,56.00,3659.00
10/03/1997,0.00,0.00,0.00,0.00,0.00,0.00
11/03/1997,0.00,0.00,0.00,0.00,0.00,0.00
12/03/1997,2107.00,2610.00,1033.00,2177.00,64.00,4717.00
13/03/1997,1221.00,2176.00,1097.00,1339.00,56.00,3397.00
14/03/1997,449.00,1593.00,211.00,95.00,0.00,2042.00
15/03/1997,3143.00,4413.00,875.00,2749.00,64.00,7556.00
17/03/1997,207.00,734.00,1179.00,244.00,0.00,941.00
18/03/1997,0.00,0.00,0.00,0.00,0.00,0.00
19/03/1997,208.00,696.00,1251.00,260.00,0.00,904.00
22/03/1997,1221.00,2176.00,894.00,1092.00,56.00,3397.00
23/03/1997,204.00,645.00,1369.00,279.00,0.00,849.00
24/03/1997,1897.00,1893.00,680.00,1290.00,64.00,3790.00
25/03/1997,0.00,0.00,0.00,0.00,0.00,0.00
26/03/1997,0.00,0.00,0.00,0.00,0.00,0.00
27/03/1997,446.00,1627.00,258.00,115.00,64.00,2073.00
28/03/1997,199.00,798.00,948.00,189.00,64.00,997.00
29/03/1997,1542.00,305.00,710.00,1094.00,64.00,1847.00
30/03/1997,0.00,0.00,0.00,0.00,0.00,0.00
04/04/1997,1134.00,1805.00,281.00,319.00,0.00,2938.00
05/04/1997,1404.00,2333.00,944.00,1325.00,56.00,3736.00
06/04/1997,1709.00,1860.00,657.00,1122.00,64.00,3569.00
08/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
09/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
10/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
11/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
12/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
13/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
14/04/1997,1109.00,1594.00,1186.00,1315.00,56.00,2703.00
15/04/1997,1464.00,366.00,806.00,1180.00,64.00,1830.00
17/04/1997,1002.00,1002.00,429.00,430.00,64.00,2003.00
18/04/1997,461.00,1543.00,855.00,394.00,64.00,2004.00
19/04/1997,214.00,652.00,668.00,143.00,64.00,866.00
20/04/1997,390.00,2212.00,1223.00,477.00,64.00,2602.00
22/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
23/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
24/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
25/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
26/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
27/04/1997,0.00,0.00,0.00,0.00,0.00,0.00
28/04/1997,187.00,1512.00,594.00,111.00,64.00,1699.00
29/04/1997,1906.00,1984.00,805.00,1534.00,64.00,3890.00
01/05/1997,1982.00,1740.00,943.00,1869.00,56.00,3721.00
02/05/1997,1617.00,949.00,951.00,1538.00,64.00,2566.00
03/05/1997,1879.00,1944.00,790.00,1485.00,64.00,3823.00
05/05/1997,977.00,977.00,203.00,198.00,0.00,1954.00
07/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
08/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
09/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
10/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
11/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
12/05/1997,0.00,0.00,0.00,0.00,0.00,0.00
